id,hindi,english
1037,मेरी एक पुराने दोस्त से मुलाक़ात हुई।,I ran into an old friend.
1038,मुझे लगता है वह सही है।,I think that he is right.
1039,मैं टॉम को बोलते हुए सुनना चाहता हूँ।,I want to hear Tom speak.
1040,मैं टैक्सी का इंतेज़ार कर रहा था।,I was waiting for a taxi.
1041,मैं टैक्सी की प्रतीक्षा कर रहा था।,I was waiting for a taxi.
1042,मैं उसको यह बात समझाउँगा।,I will explain it to her.
1043,मैं उसको यह बात समझाउँगा।,I will explain it to him.
1044,मुझे उनकी मदद करनी पड़ेगी।,I will have to help them.
1045,मैं फिरसे नहीं करूँगा।,I will never do it again.
1046,मुझे अपने पैसे वापस चाहिए।,I'd like to get a refund.
1047,मैं तुम्हें थोड़ी देर में फ़ोन करूँगा।,I'll call you back later.
1048,मैं आपको थोड़ी देर बाद फ़ोन करूँगा।,I'll call you back later.
1049,मैं शादी के खिलाफ हूं।,I'm against the marriage.
1050,मैं नहाने जा रहा हूँ।,I'm going to take a bath.
1051,मैंने पहला पृष्ठ पढ़ा लिया I,I've read the first page.
1052,यदि आ सको तो हमारे साथ आ जाना।,"If you can, come with us."
1053,लोहा सोने से सख्त होता है।,Iron is harder than gold.
1054,क्या आपके पिताजी अध्यापक हैं?,Is your father a teacher?
1055,क्या तुम्हारे पिताजी अध्यापक हैं?,Is your father a teacher?
1056,क्या आपके पापा अध्यापक हैं?,Is your father a teacher?
1057,क्या तुम्हारे पापा अध्यापक हैं?,Is your father a teacher?
1058,क्या आपके पिताजी टीचर हैं?,Is your father a teacher?
1059,क्या तुम्हारे पिताजी टीचर हैं?,Is your father a teacher?
1060,क्या आपके पापा टीचर हैं?,Is your father a teacher?
1061,क्या तुम्हारे पापा टीचर हैं?,Is your father a teacher?
1062,तेरा बाप टीचर है क्या?,Is your father a teacher?
1063,यह समस्या बहुत कठिन है।,It's a difficult problem.
1064,पाँच से दस को जोड़ना बहुत आसान है।,It's easy to add 5 to 10.
1065,यह तुम्हारी सेहत के लिए अच्छा नहीं है।,It's not healthy for you.
1066,यह मेरी पत्नी है।,Let me introduce my wife.
1067,मुझे अपना पता बतादेना।,Let me know your address.
1068,मेरे पिताजी कैंसर से चल बसे।,My father died of cancer.
1069,हमारी टीम बहुत अच्छी नहीं है।,Our team isn't very good.
1070,कृपया पाँच मिनट ठहरिए।,Please wait five minutes.
1071,उसने हमें चुप रहने के लिए कहा।,She asked us to be quiet.
1072,उसने बच्चे को रोते हुए छोड़ दिया।,She left the baby crying.
1073,उसने मुझे ध्यान में लेने से इनकार करदिआ।,She refused to notice me.
1074,दस साल बहुत लम्बा समय होता है।,Ten years is a long time.
1075,डॉक्टर ने मेरी नब्ज़ ली।,The doctor felt my pulse.
1076,खाना ठंडा हो रहा है।,The food is getting cold.
1077,खाना अभी तक तैयार नहीं हुआ है।,The food's not ready yet.
1078,उस आदमी ने कत्ल किया।,The man committed murder.
1079,पार्टी कामयाब रही।,The party was successful.
1080,उनकी शादी एक दिखावा है।,Their marriage is a sham.
1081,ये किताबें काफ़ी पुरानी हैं।,These are very old books.
1082,वे सब जिमखाने में मिले।,They gathered in the gym.
1083,वे फ़िल्म देख रहे हैं।,They're watching a movie.
1084,इस कीमत में टैक्स शामिल है।,This amount includes tax.
1085,इस घर में छः कमरे हैं।,This house has six rooms.
1086,यह उसके जितना बड़ा है।,This is as large as that.
1087,यह रास्ता बहुत पतला है।,This road is very narrow.
1088,टोक्यो बहुत बड़ा शहर है।,Tokyo is a very big city.
1089,टॉम जेल से छूट गया।,Tom busted out of prison.
1090,टॉम के बाल नहीं थे ।,Tom didn't have any hair.
1091,टॉम ने कभी मुझ पर भरोसा नहीं किया।,Tom has never trusted me.
1092,टॉम ने कभी मुझ पर विश्वास नहीं किया।,Tom has never trusted me.
1093,टॉम को अच्छे से तैरना आता है।,Tom is able to swim well.
1094,टॉम शायद भूल गया।,Tom most probably forgot.
1095,हमारे पास पीने के लिए पानी नहीं था।,We had no water to drink.
1096,हम भारत से चाय का आयात करते हैं।,We import tea from India.
1097,हम हवा के बिना मर जाएँगे।,We would die without air.
1098,हमें टॉम से बात करनी होगी।,We've got to talk to Tom.
1099,क्या ढूँढ रहे हो?,What are you looking for?
1100,कल उसने क्या किया?,What did he do yesterday?
1101,कल रात क्या हुआ?,What happened last night?
1102,उसको बहादुरी की ज़रूरत है।,What he lacks is courage.
1103,तुम कौनसे स्कूल में पढ़ते हो?,What school do you go to?
1104,तुम किस समय घर जाती हो?,What time do you go home?
1105,तुम कितने बजे घर जाते हो?,What time do you go home?
1106,तुम वापस कब आओगे?,When are you coming back?
1107,तुम्हारी शादी कब हुई थी?,When did you get married?
1108,क्या उनकी शादी चलेगी?,Will their marriage work?
1109,आप वहाँ जाएँगे क्या?,Will you please go there?
1110,"हाँ, मुझे यह बहुत पसंद है।","Yes, I like it very much."
1111,क्या आप इसे शादी कहते हैं?,You call that a marriage?
1112,आपको लाईन में लगकर इंतेज़ार करना पड़ेगा।,You have to wait in line.
1113,तुमने मुझे पागल कर दिया।,You made me lose my mind.
1114,आपको बाहर नहीं होना चाहिए।,You shouldn't be outside.
1115,"तुम थक गए हो, है ना?","You're tired, aren't you?"
1116,A B से पाँचगुना लम्बा है।,A is 5 times as long as B.
1117,आज सेव सस्ते बिक रहे थे।,Apples were on sale today.
1118,कम से कम वह हिस्सा तो सच था ।,At least that part's true.
1119,तुम पार्टी में आ सकते हो क्या?,Can you come to the party?
1120,मेरे घर आठ बजे आना।,Come to my house at eight.
1121,पुलीस ने टॉम को गिरफ़्तार किया क्या?,Did the police arrest Tom?
1122,तुम परियों में विश्वास करते हो क्या?,Do you believe in fairies?
1123,तुम परियों में विश्वास करती हो क्या?,Do you believe in fairies?
1124,आपके पास इससे बड़े नाप का है क्या?,Do you have a larger size?
1125,तुम साथ आना चाहते हो क्या?,Do you want to come along?
1126,दरवाज़े को खुला मत छोड़ो।,Don't leave the door open.
1127,तुम यहाँ पहले आए हुए हो क्या?,Have you been here before?
1128,उसने अंग्रेज़ी सीखना शुरू किया।,He began to learn English.
1129,वह ज़्यादा तेज़ नहीं भाग सकता था।,He couldn't run very fast.
1130,वह तुम्हें समझता नहीं है।,He doesn't understand you.
1131,उसने खिड़की पर ज़ोर लगाकर खटखटाया।,He hammered at the window.
1132,उसके पास बहुत सारी इतिहास की किताबें हैं।,He has many history books.
1133,उसने थोड़ी देर हिचकिचाया।,He hesitated for a moment.
1134,वह मेरे पड़ोसियों में से एक है।,He is one of my neighbors.
1135,उसे अपना स्कूल बहुत पसंद है।,He likes his school a lot.
1136,वह सबका मज़ाक उड़ाता है।,He makes fun of everybody.
1137,उसने मुझे लिखना सिखाया।,He taught me how to write.
1138,हमने नदी के किनारे सैर करी।,He walked along the river.
1139,वह किताब को खरीदना चाहता था।,He wanted to buy the book.
1140,वह वहाँ जाने से डरता था।,He was afraid to go there.
1141,वह बुखार से जल रहा था।,He was burning with fever.
1142,वह आसमान की ओर देख रहा था।,He was looking at the sky.
1143,उसे मौत की सज़ा दे दी गई।,He was sentenced to death.
1144,उसने दुर्घटना को अपनी आँखों से देखा था।,He witnessed the accident.
1145,वह उस दुर्घटना का चश्मदीद गवाह था।,He witnessed the accident.
1146,वह बच्चे की तरह सो रहा है।,He's sleeping like a baby.
1147,हो सकता है कि उसकी कहानी सच न हो।,His story may not be true.
1148,मैं इस कोटे तक भला कैसे पहुंच सकता हूँ?,How can I meet this quota?
1149,हमारे पास कितनी कटोरियाँ हैं?,How many bowls do we have?
1150,आपके पास कितनी गाड़ियाँ हैं?,How many cars do you have?
1151,भूख ने उसे चोरी करने पर मजबूर किया।,Hunger drove him to steal.
1152,मैं अंग्रेज़ी पढ़ सकता हूँ।,I am able to read English.
1153,मैं अंग्रेज़ी पढ़ सकती हूँ।,I am able to read English.
1154,मैंने कल एक किताब खरीदी थी।,I bought a book yesterday.
1155,मैं इस बार नहीं आ सकता।,I can't make it this time.
1156,मैं और नहीं चल सकती।,I cannot walk any farther.
1157,मुझे उसकी झलक दिखाई दी।,I caught a glimpse of her.
1158,मुझे थोड़ा आराम करने का मन है।,I feel like taking a rest.
1159,मैंने गाड़ी को कल ठीक किया था।,I fixed the car yesterday.
1160,मुझे पता लगा कि वह कहाँ थी।,I found out where she was.
1161,मैं रोज़ छः बजे उठता हूँ।,I get up at six every day.
1162,मुझे इसे टॉम को वापस करना पड़ा।,I had to return it to Tom.
1163,मेरे पास तुमसे मिलने के लिए समय नहीं है।,I have no time to see you.
1164,मैंने टॉम को हाल में नहीं देखा है।,I haven't seen Tom lately.
1165,मैंने उसे हाल में नहीं देखा है।,I haven't seen him lately.
1166,मुझे शादी के बारे में सब पता है।,I know all about marriage.
1167,मुझे गाड़ी चलाना आता है।,I know how to drive a car.
1168,आज मैंने एक नया दोस्त बनाया।,I made a new friend today.
1169,मैं उससे नाई के यहाँ मिला।,I met him at the barber's.
1170,मैंने उसे दस डॉलर के लिए बेच दिया।,I sold it for ten dollars.
1171,मुझे यह साइकिल अब भी पसंद है।,I still love this bicycle.
1172,मैं आमतौर पर आठ बजे उठा करता हूँ।,I usually get up at eight.
1173,मैं मैनेजर से मिलना चाहता हूँ।,I want to see the manager.
1174,मैं मैनेजर से मिलना चाहती हूँ।,I want to see the manager.
1175,मैं तुम्हारे साथ सफ़र करना चाहता हूँ।,I want to travel with you.
1176,मुझे उसके मरने का डर था।,I was afraid he might die.
1177,काश ये समस्या मुझे हुई होती।,I wish I had this problem.
1178,काश ये मुसीबत मेरे पल्ले पड़ती।,I wish I had this problem.
1179,मैं क्लब जॉइन करना चाहूंगा।,I'd like to join the club.
1180,मैं वहाँ शाम के पाँच बजे पहुँच जाऊँगा।,I'll be there at five p.m.
1181,मैं एक और तौलिया लाती हूँ।,I'll bring one more towel.
1182,मैं अपने होमवर्क में लगा हुआ हूँ।,I'm busy with my homework.
1183,मैं तुमसे निराश हूँ।,I'm disappointed with you.
1184,मैं तुम्हें फिरसे देखकर बहुत खुश हूँ।,I'm glad to see you again.
1185,मुझे इतिहास में दिलचस्पी है।,I'm interested in history.
1186,मैं छाया में खड़ा हूँ।,I'm standing in the shade.
1187,मैं छाँओं में खड़ा हूँ।,I'm standing in the shade.
1188,मैं अपनी माँ का इंतेज़ार कर रहा हूँ।,I'm waiting for my mother.
1189,संदर्भ पर निर्भर करता है।,It depends on the context.
1190,नौ बज चुकें हैं।,It's already nine o'clock.
1191,यह मेरे दोस्त के लिए है।,It's for a friend of mine.
1192,यहाँ बहुत गर्म है।,It's terribly hot in here.
1193,इस दोपहर को मिलते हैं।,Let's meet this afternoon.
1194,क्या मैं चंद सवाल पूछ सकती हूँ?,May I ask a few questions?
1195,मेरा भाई टोक्यो में रहता है।,My brother lives in Tokyo.
1196,मेरे पिता शायद सो रहे होंगे।,My father may be sleeping.
1197,मेरे पिता ने सिगरेट पीना बंद कर दिया।,My father stopped smoking.
1198,मेरा दाहिना पैर सो गया है।,My right foot is sleeping.
1199,मेरी बीवी को बिल्लियों से नफ़रत है।,My wife really hates cats.
1200,दूसरों की बुराई कभी नहीं करनी चाहिए।,Never speak ill of others.
1201,मेरी एक अटैची ग़ायब है।,One of my bags is missing.
1202,मुझे अपनी एक अटैची मिल नहीं रही है।,One of my bags is missing.
1203,स्कूल साढ़े-आठ बजे शुरू होता है।,School begins at 8:30 a.m.
1204,उसने सब कुछ अपने-आप किया।,She did it all by herself.
1205,वह अभी तक यहाँ नहीं आई है।,She has not come here yet.
1206,उसने तस्वीर को देखा।,She looked at the picture.
1207,उसने मुझे अपनी नई गाड़ी दिखाई।,She showed me her new car.
1208,स्मॉग से पेड़-पौधों की मौत होती है।,Smog causes plants to die.
1209,कुछ सांप ज़हरीले होते हैं।,Some snakes are poisonous.
1210,तोहफ़े के लिए धन्यवाद।,Thank you for the present.
1211,दुश्मन पास नहीं आ पाएगा।,The enemy won't get close.
1212,राजा ने अपनी ताकत का दुरुपयोग किया।,The king abused his power.
1213,क़ैदी को रिहा कर दिया गया।,The prisoner was released.
1214,कारण बहुत सरल है।,The reason is very simple.
1215,मेरे कमरे में टीवी नहीं है।,There is no TV in my room.
1216,कोई और रास्ता भी होगा।,There must be another way.
1217,ये सेब बहुत बड़े हैं।,These are very big apples.
1218,उन्होंने एक-दूसरे को देखा।,They looked at each other.
1219,यह मेज़ लकड़ी की बनी है।,This desk is made of wood.
1220,मेरे पापा का घर है।,This is my father's house.
1221,यह मेरी तीसरी शादी है।,This is my third marriage.
1222,आज स्वतंत्रता दिवस है।,Today is Independence Day.
1223,टॉम और मैरी परेशान लग रहे हैं।,Tom and Mary look worried.
1224,टॉम खुद को रोने से रोक न सका।,Tom couldn't help but cry.
1225,टॉम रो पड़ा।,Tom couldn't help but cry.
1226,टॉम काम पर नहीं आया।,Tom didn't arrive at work.
1227,टॉम उबले अंडे बना रहा है।,Tom is making boiled eggs.
1228,टॉम रविवार को भी काम करता है।,"Tom works on Sundays, too."
1229,यहाँ बीस परिवार बसे हुए हैं।,Twenty families live here.
1230,हम सब टॉम के लिए दुःखी थे।,We all felt sorry for Tom.
1231,हमने दरवाज़े को हरे रंग से पोत दिया।,We painted the door green.
1232,हम तालाब के आस-पास टहलें।,We walked around the pond.
1233,हमें आपकी चिंता लगी हुई है।,We were worried about you.
1234,आपकी रक्षा करना हमारा काम है।,We're here to protect you.
1235,हम आपकी रक्षा करने के लिए यहाँ आए हैं।,We're here to protect you.
1236,हम शादी से संबंधित हैं।,We're related by marriage.
1237,वह कितना नसीबवाला है!,What a lucky person he is!
1238,तुमने कल क्या किया?,What did you do yesterday?
1239,तुम मुझसे क्या करवाना चाहते हो?,What do you want me to do?
1240,तुम्हारा सबसे पसंदीता खाना कौनसा है?,What's your favorite food?
1241,कपड़े बदलने का कमरा कहाँ पर है?,Where's the changing room?
1242,मुझसे बात क्यों कर रहे हो?,Why are you talking to me?
1243,मेरे लिए थोड़ी जगह बनाओगे क्या?,Will you make room for me?
1244,मेरे सिगरेट पीने पर आपको आपत्ति तो नहीं होगी?,Would you mind if I smoke?
1245,कल मेरा जन्मदिन था।,Yesterday was my birthday.
1246,तुम्हें तुरंत जाना चाहिए।,You had better go at once.
1247,"तुम्हारे पास एक कुत्ता है, है न?","You keep a dog, don't you?"
1248,कौआ कोयले जैसा काला होता है।,A crow is as black as coal.
1249,दरवाज़े पर एक आदमी दिखाई दिया।,A man appeared at the door.
1250,मुझसे कल फिर आकर मिलना।,Come see me again tomorrow.
1251,आपके पास अपौइंटमेंट है क्या?,Do you have an appointment?
1252,क्या आप व्यक्तिगत रूप से टॉम को जानते हैं?,Do you know Tom personally?
1253,क्या तुम व्यक्तिगत रूप से टॉम को जानते हो?,Do you know Tom personally?
1254,मुझे वापस फ़ोन करना मत भूलना।,Don't fail to call me back.
1255,ऐसा मत बोलो।,Don't say things like that.
1256,उन सभी के पास साईकल है।,Each of them has a bicycle.
1257,अभी तक तुमने कुछ किया?,Have you done anything yet?
1258,तुमने कभी क्वाला देखा है?,Have you ever seen a koala?
1259,उसने मुझसे थोड़े पैसे माँगे।,He asked me for some money.
1260,वह पुलिस अफ़सर बन गया।,He became a police officer.
1261,मैं जो भी कहता हूँ वह मेरा यक़ीन कर लेता है।,He believes whatever I say.
1262,उसने सिगरेट पीना छोड़ने का फ़ैसला किया।,He decided to quit smoking.
1263,उसने काम अपने-आप किया।,He did the work on his own.
1264,उसकी मेरी बहन के साथ सगाई हो चुकी है।,He is engaged to my sister.
1265,वह कभी-कभार मुझसे मिलने आता था।,He occasionally visited me.
1266,उसने दरवाज़े के पास एक कुत्ता देखा।,He saw a dog near the door.
1267,वह आमतौर पर घर देर से आता है।,He usually comes home late.
1268,वह क्लास में हमेशा देर से आता है।,He's always late for class.
1269,उसकी राय बेकार है।,His opinions are worthless.
1270,ईमानदारी सर्वोत्तम नीति है।,Honesty is the best policy.
1271,वह कितने दिनों से बीमार है?,How long has she been sick?
1272,तुम्हारे पास कितनी किताबें हैं?,How many books do you have?
1273,हमारे पास कितनी कुर्सियाँ हैं?,How many chairs do we have?
1274,मुझे वास्तव में ऐसा करना है।,I actually have to do that.
1275,मुझे अंग्रेज़ी में दिलचस्पी है।,I am interested in English.
1276,मैं आमतौर के मुकाबले में देर से आया।,I arrived later than usual.
1277,"वह जो भी कहे, मुझे उस पर यकीन है।",I believe whatever he says.
1278,मैंने दो दर्जन पेनसिलें खरीदीं।,I bought two dozen pencils.
1279,मुझसे और काम नहीं किया जाएगा।,I can't take any more work.
1280,मैं रोज़ बीस मील चलता हूँ।,I cover twenty miles a day.
1281,मैं उसका बिलकुल भी यकीन नहीं करता।,I don't believe him at all.
1282,वे जो मर्ज़ी कहें मुझे उससे कोई फ़र्क नहीं पड़ता।,I don't care what they say.
1283,मुझे समझ में नहीं आ रहा कि क्या पढ़ूँ।,I don't know what to study.
1284,मैं काम के बाद सीधे घर जा रहा हूं।,I go home right after work.
1285,मुझे उसके प्रस्ताव को अस्वीकार करना पड़ा।,I had to decline his offer.
1286,मुझे निम्नलिखित वस्तुओं की आवश्यकता है।,I need the following items.
1287,मुझे इन सभी चीजों की आवश्यकता है।,I need the following items.
1288,मुझे इन सभी चीजों की जरूरत है।,I need the following items.
1289,मुझे कुछ अंडे खरीदने जाना है।,I need to go get some eggs.
1290,मैं टॉम और जॉन के बीच में बैठा।,I sat between Tom and John.
1291,"मैं ४ जून, १९७४ को पैदा हुआ था।","I was born on June 4, 1974."
1292,मैं शहर का नक्शा खरीदना चाहता हूँ।,I'd like a map of the city.
1293,मैं निकम्मा हूँ।,I'm a good-for-nothing bum.
1294,मैं एक बूढ़े आदमी की तलाश मे हूँ।,I'm looking for an old man.
1295,चूहा ज़िन्दा है या मर गया है?,Is the mouse dead or alive?
1296,यहाँ पर मुश्किल से कभी बारिश होती है।,It hardly ever rains there.
1297,कहा जाता है कि वह बीमार है।,It is said that he is sick.
1298,मुझे बहुत मज़ेदार लगती है!,It seems interesting to me.
1299,मुझे बहुत दिलचस्प लगती है!,It seems interesting to me.
1300,बारह बजने वाले हैं।,It's almost twelve o'clock.
1301,मुसलाधार बारिश होती है।,It's raining cats and dogs.
1302,मुसलाधार वर्षा होती है।,It's raining cats and dogs.
1303,सब लोगों के लिए एक समान है।,It's the same for everyone.
1304,टॉम शायद तुमसे प्यार नहीं करता है।,Maybe Tom doesn't love you.
1305,मेरी बुआ-जी मेरे लिए फूल लाईं।,My aunt brought me flowers.
1306,हमारी ट्रेन अचानक रुक गई।,Our train stopped suddenly.
1307,जहाँ भी रखना है रखदो।,Place it wherever you like.
1308,वह अपने कुत्ते को खिलाना भूल गई।,She forgot to feed her dog.
1309,उसके हाथ-पैर लम्बे हैं।,She has long arms and legs.
1310,वह बुखार के साथ बिस्तर में लेटी हुई है।,She is in bed with a fever.
1311,उसको कहानी पहले से ही पता थी।,She knew the story already.
1312,उसे अपना स्कूल बहुत पसंद है।,She likes her school a lot.
1313,वह टेनिस बहुत अच्छा खेलती है।,She plays tennis very well.
1314,वह अचानक से मशहूर बन गई।,She suddenly became famous.
1315,वह अपने कमरे में रो रही थी।,She was crying in her room.
1316,अपना अच्छे से ख़याल रखना।,Take good care of yourself.
1317,यह तो बहुत ही अच्छा सुझाव है।,That's really a great idea.
1318,उसे जो डब्बा मिला वह खाली था।,The box he found was empty.
1319,दुल्हन अचानक से हँस पड़ी।,The bride suddenly laughed.
1320,उस आदमी ने मुझे सर पर मारा।,The man hit me on the head.
1321,इस दवाई का स्वाद बहुत कड़वा है।,The medicine tastes bitter.
1322,उसके जूतों पर कीचड़ लगी हुई थी।,The mud clung to his shoes.
1323,यह उपन्यास बहुत रोमांचक है।,The novel is very exciting.
1324,पेंट अभी तक सूखा नहीं है।,The paint hasn't dried yet.
1325,बरसात पूरे दिन होती रही।,The rain continued all day.
1326,यह पानी पिया नहीं जा सकता है।,The water is not drinkable.
1327,मेज़ पर बस्ता रखा हुआ है।,There is a bag on the desk.
1328,उनकी ओपन मैरिज है ।,They have an open marriage.
1329,यह गाड़ी जापान में बनी थी।,This car was made in Japan.
1330,यह वर्षा ऋतु का मौसम है।,This is the monsoon season.
1331,यह शब्द ग्रीक से आता है।,This word comes from Greek.
1332,टॉम और मैं दोनों वहाँ रहेंगे।,Tom and I'll both be there.
1333,टॉम ने जिम्मेदारी का दावा किया।,Tom claimed responsibility.
1334,टॉम अपने दोस्तों के साथ रहता है।,Tom lives with his friends.
1335,टॉम को सच में तुम्हारी सहायता की आवश्यकता है।,Tom really needs your help.
1336,टॉम को सचमुच तुम्हारी सहायता चाहिए।,Tom really needs your help.
1337,टॉम अकेले वैसा करना चाहता है।,Tom wants to do that alone.
1338,टॉम वह अकेले करना चाहता है।,Tom wants to do that alone.
1339,"टॉम, मुझे तुमसे बात करनी है।","Tom, I want to talk to you."
1340,"बत्ती बंद करदो, प्लीज़।","Turn off the light, please."
1341,कृपया बत्ती बंद कर दीजिए।,"Turn off the light, please."
1342,हम सब उसके मज़ाक पर हँसे।,We all laughed at his joke.
1343,हमने उसका जन्मदिन मनाया।,We celebrated his birthday.
1344,हमने टॉम को कप्तान चुना।,We chose Tom to be captain.
1345,हमने सब हाथ से ही किया।,We did everything manually.
1346,हमें नहीं पता हम कहाँ हैं।,We don't know where we are.
1347,हमे अपना वादा निभाना चाहिए।,We should keep our promise.
1348,हमने उसका हिसाब लगा लिया।,We've got that figured out.
1349,मेरी बात ने उसके अभिमान पर चोट पहुँचाई।,What I said hurt his pride.
1350,इस पक्षी का नाम क्या है?,What do you call this bird?
1351,हमारे औरडर का क्या हुआ?,What happened to our order?
1352,आपके भाई का नाम क्या है?,What's your brother's name?
1353,सारा ब्रॅड कहाँ चला गया?,Where did all the bread go?
1354,तुम मेरी बात सुनते क्यों नहीं हो?,Why don't you listen to me?
1355,तुमने दरवाज़ा क्यों बंद कर दिया ?,Why have you shut the door?
1356,बत्ती चालू कर दोगे क्या?,Will you turn on the light?
1357,तुम हमेशा शिकायत करते रहते हो।,You are always complaining.
1358,आप गलत ट्रेन पर हैं।,You are on the wrong train.
1359,तुम नहीं आ रहे हो ना?,"You aren't coming, are you?"
1360,"तुमने मेरी शादी बचा ली, टॉम।","You saved my marriage, Tom."
1361,तुम नहीं आ रहे हो ना?,"You're not coming, are you?"
1362,एक दिन में चौबीस घंटे होते हैं।,A day has twenty-four hours.
1363,आप इसके हित में हैं या नहीं?,Are you for or against this?
1364,हम आखिरकार झील तक पहुँच गए।,"At last, we got to the lake."
1365,अगली बार अपनी बहन को भी साथ लाना।,Bring your sister next time.
1366,क्या तुम मुझे उड़ना सिखा सकते हो?,Can you teach me how to fly?
1367,कनाडा जापान से बड़ा है।,Canada is larger than Japan.
1368,थोड़ा धीरे बोल सकते हैं क्या?,Could you speak more slowly?
1369,तुम्हारे पास कोक-शोक है क्या?,Do you have any soft drinks?
1370,आपको कहीं जाना है?,Do you want to go somewhere?
1371,तुम्हें कहीं जाना है?,Do you want to go somewhere?
1372,सब टॉम के लिए दुःखी थे I,Everyone felt sorry for Tom.
1373,सभी उसकी अच्छाई करते है।,Everyone speaks well of him.
1374,फ़्रान्स पश्चिमी यूरोप में है।,France is in Western Europe.
1375,फ़्रान्स पश्चिमी यूरोप में है।,France is in western Europe.
1376,उसने अचानक से दरवाज़ा बंद किया।,He closed the door suddenly.
1377,वह लम्बी सांस नहीं ले पाता था।,He could not breathe deeply.
1378,उसको तैरना नहीं आता।,He doesn't know how to swim.
1379,उसने मुझे वह नियम समझाया।,He explained the rule to me.
1380,वह अपनी क़ब्र खोद रहा है।,He is digging his own grave.
1381,वह हर रोज़ बेसबॉल खेलता है।,He plays baseball every day.
1382,उसे फ़्रानसीसी जर्मन से ज़्यादा अच्छी लगती है।,He prefers French to German.
1383,उसने यह किताब कल पढ़ी थी।,He read this book yesterday.
1384,उसने अपना नाम दोबारा धीरे से बोला।,He repeated his name slowly.
1385,वह मुझसे ग़ुलाम की तरह बर्ताव करता है।,He treats me like his slave.
1386,वह मेरे बजाय वहां गया।,He went there instead of me.
1387,उसका जन्मदिन इक्कीस अगस्त को है।,His birthday is August 21st.
1388,आप यहाँ कितने दिन रहेंगे?,How long will you stay here?
1389,मैं उसके साथ सैर के लिए गया।,I accompanied her on a walk.
1390,मुझे लगता है कि तुम्हें तुम्हारा काम अच्छा लगता है।,I believe you like your job.
1391,मैं पिछले रविवार बाहर नहीं निकला था।,I didn't go out last Sunday.
1392,मुझे नहीं पता कि उसको पता है कि नहीं।,I don't know if he knows it.
1393,मुझे नहीं पता कि टॉम को क्या पता है।,I don't know what Tom knows.
1394,मुझे नहीं पता कि उन्हें क्या पता है।,I don't know what they know.
1395,मेने उसे नियम समझाया।,I explained the rule to him.
1396,मेरे पास जो भी पैसे थे मैंने उसे दे दिए।,I gave him what money I had.
1397,मैंने उसे पहले कभी नहीं देखा था।,I had never seen him before.
1398,मैंने अपना कमरा अभी अभी साफ़ किया है।,I have just cleaned my room.
1399,मैंने उसे तीन बार देखा है।,I have seen her three times.
1400,मुझे उसकी चिट्ठी का जवाब देना है।,I have to answer his letter.
1401,मैं जानता था कि तुम समझ जाओगे।,I knew you would understand.
1402,मुझे पता था कि तुम समझोगे।,I knew you would understand.
1403,मैं कल तुम्हारे पिताजी से मिला।,I met your father yesterday.
1404,मुझे सायकल चलाना चलने से ज़्यादा पसंद है।,I prefer walking to cycling.
1405,मैंने उसे सड़क पार करते हुए देखा।,I saw him crossing the road.
1406,मैं कल उससे मिलने जाऊँगा।,I will call on him tomorrow.
1407,मैं इस रविवार को ड्यूटी पर हूँगा।,I'll be on duty this Sunday.
1408,मैं तुमसे ज़्यादा खूबसूरत हूँ।,I'm more beautiful than you.
1409,मैं तुमसे ज़्यादा सुंदर हूँ।,I'm more beautiful than you.
1410,"माफ़ कीजिएगा, मेरे पापा अभी घर पर नहीं हैं।","I'm sorry, my father is out."
1411,जहाँ भी घुसाना है घुसा दो।,Insert it wherever you like.
1412,लोहा एक बहुत उपयोगी धातु है।,Iron is a very useful metal.
1413,मेक्सिको में स्पैनिश बोली जाती है क्या?,Is Spanish spoken in Mexico?
1414,तकरीबन दस एक अरब येन होंगे?,Is it about ten million yen?
1415,अंग्रेज़ी बोलना मुश्किल होता है क्या?,Is it hard to speak English?
1416,यह सरासर समय की बर्बादी है।,It is a sheer waste of time.
1417,यह मेरे लिए करना बहुत आसान था।,It was easy for me to do so.
1418,वह मेरे लिए बहुत कठिन था।,It was too difficult for me.
1419,मानो कोई सपना सच आ गया हो।,It's like a dream come true.
1420,हमें अपने खर्चे कम करने होंगे।,Let's cut down our expenses.
1421,मेरी को स्पा जाना पसंद है।,Mary loves going to the spa.
1422,मेरी जीन्स पैंट धुलाई में सिकुड़ गई।,My jeans shrank in the wash.
1423,नौ खिलाड़ी एक टीम बनाते हैं।,Nine players make up a team.
1424,जवाब न देना भी एक तरह का जवाब होता है।,No answer is also an answer.
1425,उस बड़े डब्बे को कोई भी नहीं हिला सकता।,No one can move the big box.
1426,किसी ने भी मेरे सवाल का जवाब नहीं दिया।,Nobody answered my question.
1427,किसी और ने मदद करने की इच्छा प्रकट नहीं करी।,Nobody else offered to help.
1428,अब मैं सब समझता हूं।,Now I understand everything.
1429,अब मुझे सब समझ में आता है।,Now I understand everything.
1430,मुझे एक कप चाय दीजिए।,Please give me a cup of tea.
1431,कृपया धीमी आवाज़ में बात कीजिए।,Please speak in a low voice.
1432,कृपया हल्की आवाज़ में बात कीजिए।,Please speak in a low voice.
1433,देखो बाहर क्या हो रहा है।,See what's going on outside.
1434,उसने उसको अकेले जाने दिया।,She allowed him to go alone.
1435,उसने आमंत्रण को स्वीकार नहीं किया।,She declined the invitation.
1436,उसने गलत नम्बर मिला डाला।,She dialed the wrong number.
